Event Date,Health Planning Region,Case Status,Number of Cases,Number of Hospitalizations,Number of Deaths
05/05/2020,Northwest,Probable,14,0,1
05/05/2020,Northern,Probable,22,1,0
05/05/2020,Eastern,Confirmed,172,10,8
05/05/2020,Eastern,Probable,7,0,1
05/05/2020,Northwest,Confirmed,105,8,6
05/05/2020,Southwest,Confirmed,23,2,1
05/05/2020,Central,Confirmed,144,12,6
05/05/2020,Northern,Confirmed,551,59,29
05/06/2020,Central,Confirmed,206,12,2
05/06/2020,Northern,Confirmed,594,66,12
05/06/2020,Eastern,Confirmed,319,9,7
05/06/2020,Northern,Probable,17,0,1
05/06/2020,Eastern,Probable,10,0,0
05/06/2020,Northwest,Probable,11,0,0
05/06/2020,Northwest,Confirmed,72,10,4
05/06/2020,Central,Probable,5,0,0
05/06/2020,Southwest,Confirmed,24,1,1
05/07/2020,Eastern,Confirmed,137,5,5
05/07/2020,Northern,Probable,16,1,1
05/07/2020,Southwest,Probable,1,0,0
05/07/2020,Eastern,Probable,3,0,1
05/07/2020,Southwest,Confirmed,33,0,0
05/07/2020,Northwest,Confirmed,101,10,5
05/07/2020,Northern,Confirmed,511,50,26
05/07/2020,Northwest,Probable,7,0,1
05/07/2020,Central,Probable,5,0,0
05/07/2020,Central,Confirmed,133,7,6
05/08/2020,Central,Confirmed,147,15,7
05/08/2020,Southwest,Probable,1,0,0
05/08/2020,Northwest,Confirmed,136,12,3
05/08/2020,Northwest,Probable,14,0,0
05/08/2020,Northern,Confirmed,650,57,15
05/08/2020,Central,Probable,3,0,0
05/08/2020,Southwest,Confirmed,33,2,2
05/08/2020,Northern,Probable,11,1,3
05/08/2020,Eastern,Confirmed,97,5,3
05/08/2020,Eastern,Probable,4,0,0
05/09/2020,Eastern,Confirmed,87,6,6
05/09/2020,Central,Confirmed,116,9,1
05/09/2020,Central,Probable,3,0,0
05/09/2020,Northern,Confirmed,375,50,16
05/09/2020,Northwest,Confirmed,107,13,3
05/09/2020,Northern,Probable,10,1,3
05/09/2020,Northwest,Probable,10,0,2
05/09/2020,Southwest,Confirmed,18,2,0
05/10/2020,Southwest,Probable,1,0,0
05/10/2020,Central,Confirmed,120,7,4
05/10/2020,Northern,Confirmed,432,42,20
05/10/2020,Northwest,Probable,12,0,1
05/10/2020,Northwest,Confirmed,108,8,3
05/10/2020,Central,Probable,2,0,0
05/10/2020,Southwest,Confirmed,17,5,0
05/10/2020,Northern,Probable,12,0,0
05/10/2020,Eastern,Probable,1,0,0
05/10/2020,Eastern,Confirmed,47,9,4
05/11/2020,Northwest,Probable,10,0,1
05/11/2020,Central,Probable,9,0,0
05/11/2020,Eastern,Probable,3,0,0
05/11/2020,Southwest,Confirmed,16,2,2
05/11/2020,Northern,Probable,17,0,1
05/11/2020,Northwest,Confirmed,128,12,5
05/11/2020,Eastern,Confirmed,73,9,4
05/11/2020,Northern,Confirmed,685,61,28
05/11/2020,Central,Confirmed,215,14,5
05/12/2020,Northwest,Probable,17,1,1
05/12/2020,Eastern,Probable,5,0,0
05/12/2020,Northern,Probable,12,2,0
05/12/2020,Central,Probable,5,0,0
05/12/2020,Northern,Confirmed,577,51,16
05/12/2020,Northwest,Confirmed,127,9,1
05/12/2020,Southwest,Confirmed,38,1,1
05/12/2020,Southwest,Probable,1,0,0
05/12/2020,Central,Confirmed,194,9,2
05/12/2020,Eastern,Confirmed,133,6,4
05/13/2020,Eastern,Confirmed,94,7,4
05/13/2020,Southwest,Confirmed,27,2,0
05/13/2020,Northwest,Confirmed,122,4,1
05/13/2020,Northwest,Probable,10,0,1
05/13/2020,Southwest,Probable,1,0,0
05/13/2020,Central,Probable,3,0,1
05/13/2020,Northern,Probable,21,0,2
05/13/2020,Northern,Confirmed,559,47,8
05/13/2020,Central,Confirmed,174,8,7
05/13/2020,Eastern,Probable,3,0,0
05/14/2020,Northern,Probable,10,1,4
05/14/2020,Northern,Confirmed,565,51,14
05/14/2020,Northwest,Confirmed,118,8,0
05/14/2020,Northwest,Probable,4,0,0
05/14/2020,Eastern,Confirmed,85,5,3
05/14/2020,Southwest,Confirmed,35,0,0
05/14/2020,Central,Confirmed,192,12,5
05/14/2020,Eastern,Probable,5,0,0
05/14/2020,Central,Probable,10,0,0
05/15/2020,Southwest,Confirmed,34,1,1
05/15/2020,Northern,Confirmed,650,50,14
05/15/2020,Central,Confirmed,197,12,6
05/15/2020,Northwest,Confirmed,177,9,3
05/15/2020,Central,Probable,12,0,0
05/15/2020,Northern,Probable,19,1,0
05/15/2020,Eastern,Confirmed,63,5,5
05/15/2020,Northwest,Probable,14,1,0
05/15/2020,Eastern,Probable,2,0,1
05/16/2020,Northwest,Probable,7,0,0
05/16/2020,Eastern,Confirmed,79,3,5
05/16/2020,Southwest,Probable,1,0,0
